chromosome
10
5
20
5
30
5
0
0
25
50
25
50
50
75
50
100
100
100
0
0
25
50
25
50
50
75
50
100
100
100
0
0
50
25
50
75
50
100
100
100
0
0
50
25
50
75
50
100
100
100
0
0
50
50
50
100
100
100
